factor_arribo,tasa_arribo,tasa_servicio,rho,capacidad_cola,modelo_cola,tiempo_simulacion,replicas,estado_teorico,metrica,media,desvio_estandar,semiancho_ic95,teoria,error_porcentual
0.25,2.5,10.0,0.25,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.08319535246075574,0.0025202786507978916,0.0018027734818837132,0.08333266278103964,-0.16477371021334977
0.25,2.5,10.0,0.25,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.1334670643100029,0.0016355105864435588,0.0011698925091664291,0.1333330710728338,0.10049512554610116
0.25,2.5,10.0,0.25,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.03326055391645116,0.0009754350153020638,0.0006977356961424393,0.03333307107283379,-0.21755318081606684
0.25,2.5,10.0,0.25,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.2506442052166157,0.002254480658555243,0.0016126462624981588,0.24999995529651375,0.25770001412112603
0.25,2.5,10.0,0.25,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.0,0.0,0.0,1.7881394498431355e-07,-100.0
0.25,2.5,10.0,0.25,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,0.33374499530366697,0.003964392357287464,0.0028357584234734025,0.3333333333333333,0.12349859110009631
0.25,2.5,10.0,0.25,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.0832755530571884,0.0027915473376508536,0.0019968139285498443,0.08333333333333333,-0.06933633137392037
0.25,2.5,10.0,0.25,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.13340444673080337,0.0013469282978502593,0.0009634675184009801,0.13333333333333333,0.05333504810253048
0.25,2.5,10.0,0.25,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.03328770223277457,0.0011149190836916938,0.0007975096554855741,0.03333333333333333,-0.13689330167628022
0.25,2.5,10.0,0.25,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.2504694422464786,0.0022102926344293333,0.0015810382503897325,0.25,0.18777689859144076
0.25,2.5,10.0,0.25,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.0,0.0,0.0,1.4791141972893971e-31,0.0
0.5,5.0,10.0,0.5,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,promedio_clientes_sistema,1.0067872772776456,0.010398305793618745,0.007437983071958709,1.0,0.6787277277645609
0.5,5.0,10.0,0.5,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,promedio_clientes_cola,0.5052404841811224,0.008384482556702395,0.005997480797511932,0.5,1.048096836224488
0.5,5.0,10.0,0.5,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,tiempo_promedio_sistema,0.2008694692366833,0.0018190973932855044,0.0013012134751610375,0.2,0.43473461834164784
0.5,5.0,10.0,0.5,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,tiempo_promedio_cola,0.10080256633842151,0.0015447478782415743,0.0011049692898872094,0.1,0.8025663384215037
0.5,5.0,10.0,0.5,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,utilizacion_servidor,0.5015467930965232,0.0026361422390003037,0.0018856515415225056,0.5,0.3093586193046338
0.5,5.0,10.0,0.5,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,probabilidad_denegacion,0.0,0.0,0.0,0.0,0.0
0.5,5.0,10.0,0.5,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,0.33331755963651666,0.0019249011514749,0.0013768956658930394,0.3333333333333333,-0.0047321090449969905
0.5,5.0,10.0,0.5,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.0,0.0,0.0,0.0,0.0
0.5,5.0,10.0,0.5,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.09999589567161747,0.0005840930504374611,0.0004178059683788763,0.09999999999999998,-0.004104328382506518
