politica,Q,r,horizonte_dias,replicas,demanda_media_diaria,inventario_inicial,tiempo_entrega_dias,costo_fijo_orden,costo_mantenimiento_unidad_dia,costo_faltante_unidad,demanda_total_media,demanda_total_desvio_estandar,demanda_total_semiancho_ic95,demanda_satisfecha_media,demanda_satisfecha_desvio_estandar,demanda_satisfecha_semiancho_ic95,unidades_faltantes_media,unidades_faltantes_desvio_estandar,unidades_faltantes_semiancho_ic95,ordenes_emitidas_media,ordenes_emitidas_desvio_estandar,ordenes_emitidas_semiancho_ic95,inventario_promedio_media,inventario_promedio_desvio_estandar,inventario_promedio_semiancho_ic95,costo_orden_media,costo_orden_desvio_estandar,costo_orden_semiancho_ic95,costo_mantenimiento_media,costo_mantenimiento_desvio_estandar,costo_mantenimiento_semiancho_ic95,costo_faltante_media,costo_faltante_desvio_estandar,costo_faltante_semiancho_ic95,costo_total_media,costo_total_desvio_estandar,costo_total_semiancho_ic95,nivel_servicio_media,nivel_servicio_desvio_estandar,nivel_servicio_semiancho_ic95
bajo_inventario,80,45,365,10,20.0,120,3,120.0,0.35,8.0,7321.5,82.9809215020738,59.35685117153706,6835.7,79.21426639185646,56.66253562593188,485.8,45.694152312473804,32.6853564545348,84.9,1.1005049346146119,0.7871991107718554,30.71506849315068,0.44357246459669597,0.31729058063304316,10188.0,132.06059215375342,94.46389329262264,3923.8499999999995,56.6663823522277,40.53387167587111,3886.4,365.55321849979043,261.4828516362784,17998.25,328.4527549316991,234.9446226729956,0.9336624461305403,0.00596466708876041,0.004266569354336091
balanceada,120,70,365,10,20.0,120,3,120.0,0.35,8.0,7318.8,63.87279024227244,45.68866717425668,7316.1,65.2490102096065,46.673087234936574,2.7,3.802046232695699,2.719631070568212,61.2,0.6324555320336759,0.45239999999999997,69.9709589041096,0.9536120111935805,0.6821255440311409,7344.0,75.8946638440411,54.288000000000004,8938.789999999997,121.82393442998163,87.14153824997948,21.6,30.41636986156559,21.757048564545695,16304.39,114.88987915971379,82.18155854329214,0.9996296650587183,0.0005225543914767008,0.00037378692213173943
alto_servicio,160,95,365,10,20.0,120,3,120.0,0.35,8.0,7264.7,42.132199351828554,30.13746583175168,7264.7,42.132199351828554,30.13746583175168,0.0,0.0,0.0,45.9,0.31622776601683794,0.22619999999999998,115.28739726027398,1.022012433338653,0.7310528589348915,5508.0,37.94733192202055,27.144000000000002,14727.964999999997,130.56208835900924,93.39200272892975,0.0,0.0,0.0,20235.964999999997,122.49160073245449,87.61912476782915,1.0,0.0,0.0
